"name","mana_cost","combined_mana_cost","card_text","power","toughness","standard","commander","type","First_keyword","Second_keyword","Third_keyword","Fourth_keyword","Fifth_keyword","layout","prints_search_uri","rarity","number_keywords","Flying","Deathtouch","Haste","Vigilance","Broad_type","sanitised_name","Sixth_keyword"
"Sharp-Eyed Rookie","{1}{G}",2,"VigilanceWhenever a creature you control enters, if its power is greater than this creature's power or its toughness is greater than this creature's toughness, put a +1/+1 counter on this creature and investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",2,2,"legal","legal","Creature — Human Detective","Investigate","Vigilance",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0642fb0d-73cb-4989-852c-3233fe36c3b4&unique=prints","rare",2,"Not flying","Not deathtouch","Not haste","Vigilance","Creature","Sharp-Eyed Rookie",NA
"Repeat Offender","{1}{B}",2,"{2}{B}: If this creature is suspected, put a +1/+1 counter on it. Otherwise, suspect it. (A suspected creature has menace and can't block.)",2,1,"legal","legal","Creature — Human Assassin","Suspect",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4d1885d1-212e-47ae-865f-e6dc4148ddf2&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Repeat Offender",NA
"The Seventh Doctor","{3}{W}{U}",5,"Whenever The Seventh Doctor attacks, choose a card in your hand. Defending player guesses whether that card's mana value is greater than the number of artifacts you control. If they guessed wrong, you may cast it without paying its mana cost. If you don't cast a spell this way, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",3,6,"not_legal","legal","Legendary Creature — Time Lord Doctor","Investigate",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A43e1b053-2cb9-4b1d-9e38-100cfa7267b6&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","The Seventh Doctor",NA
"Golgari Guildgate",NA,0,"This land enters tapped.{T}: Add {B} or {G}.",NA,NA,"legal","legal","Land — Gate",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Afa2da325-6859-45bb-b185-35526b01bcc1&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Golgari Guildgate",NA
"Cancel","{1}{U}{U}",3,"Counter target spell.",NA,NA,"legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7d00fb28-ea6c-49a9-b4af-ffb38860a9a7&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Cancel",NA
"Essence Backlash","{2}{U}{R}",4,"Counter target creature spell. Essence Backlash deals damage equal to that spell's power to its controller.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af51ed0b4-c144-458e-b97c-618b9e1cf25d&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Essence Backlash",NA
"Centaur Healer","{1}{G}{W}",3,"When this creature enters, you gain 3 life.",3,3,"not_legal","legal","Creature — Centaur Cleric",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aff435f84-73ab-4a16-8af6-6576af4e4edb&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Centaur Healer",NA
"Sewer Shambler","{2}{B}",3,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)Scavenge {2}{B} ({2}{B}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)",2,1,"not_legal","legal","Creature — Zombie","Scavenge","Landwalk","Swampwalk",NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5d111adc-a91a-437d-8aac-3b246e980bd8&unique=prints","common",3,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Sewer Shambler",NA
"Gore-House Chainwalker","{1}{R}",2,"Unleash (You may have this creature enter with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)",2,1,"not_legal","legal","Creature — Human Warrior","Unleash",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Adbe3e317-3c39-4b38-ae06-eae02a910c37&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Gore-House Chainwalker",NA
"Gatecreeper Vine","{1}{G}",2,"DefenderWhen this creature enters, you may search your library for a basic land card or a Gate card, reveal it, put it into your hand, then shuffle.",0,2,"not_legal","legal","Creature — Plant","Defender",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0f539127-535f-4e0d-abaa-e884521098d2&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Gatecreeper Vine",NA
"Racecourse Fury","{R}",1,"Enchant landEnchanted land has ""{T}: Target creature gains haste until end of turn.""",NA,NA,"not_legal","legal","Enchantment — Aura","Enchant",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab7093835-0f84-4ea4-b228-2e39bd2642ab&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Racecourse Fury",NA
"Azorius Arrester","{1}{W}",2,"When this creature enters, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)",2,1,"not_legal","legal","Creature — Human Soldier","Detain",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3f2a27a1-f9cf-4dac-a248-5c6af4de3722&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Azorius Arrester",NA
"Izzet Guildgate",NA,0,"This land enters tapped.{T}: Add {U} or {R}.",NA,NA,"legal","legal","Land — Gate",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abf75a3d1-f184-4b48-a913-21caee1db084&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Izzet Guildgate",NA
"Hellhole Flailer","{1}{B}{R}",3,"Unleash (You may have this creature enter with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.){2}{B}{R}, Sacrifice this creature: It deals damage equal to its power to target player or planeswalker.",3,2,"not_legal","legal","Creature — Ogre Warrior","Unleash",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae13c1703-1184-4a8c-9310-f11e4e673597&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Hellhole Flailer",NA
"Brushstrider","{1}{G}",2,"Vigilance (Attacking doesn't cause this creature to tap.)",3,1,"not_legal","legal","Creature — Beast","Vigilance",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A6dfcc4bb-7cd5-4b3e-ad79-3c246a3af2a8&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Vigilance","Creature","Brushstrider",NA
"Sphinx of the Chimes","{4}{U}{U}",6,"FlyingDiscard two nonland cards with the same name: Draw four cards.",5,6,"not_legal","legal","Creature — Sphinx","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A690df8d2-9538-4c51-b730-cee09ad0ef1c&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Sphinx of the Chimes",NA
"Trostani's Judgment","{5}{W}",6,"Exile target creature, then populate. (Create a token that's a copy of a creature token you control.)",NA,NA,"not_legal","legal","Instant","Populate",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A97cf544e-ffbf-4730-8cd2-4f1d5be933f2&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Trostanis Judgment",NA
"Giant Growth","{G}",1,"Target creature gets +3/+3 until end of turn.",NA,NA,"legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5748ebf1-24e3-499d-ab7c-c2cebd462a24&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Giant Growth",NA
"Crosstown Courier","{1}{U}",2,"Whenever this creature deals combat damage to a player, that player mills that many cards.",2,1,"not_legal","legal","Creature — Vedalken","Mill",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A82184f0a-54a1-4ae0-9b99-2b3450c6e544&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Crosstown Courier",NA
"Coursers' Accord","{4}{G}{W}",6,"Create a 3/3 green Centaur creature token, then populate. (Create a token that's a copy of a creature token you control.)",NA,NA,"not_legal","legal","Sorcery","Populate",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A23674648-d1a0-437d-8a0b-4173c75b4507&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Coursers Accord",NA
"Trestle Troll","{1}{B}{G}",3,"DefenderReach (This creature can block creatures with flying.){1}{B}{G}: Regenerate this creature.",1,4,"not_legal","legal","Creature — Troll","Reach","Defender",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A8661d773-3b92-4fcf-8ffc-aced1ff7be8a&unique=prints","common",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Trestle Troll",NA
"Rubbleback Rhino","{4}{G}",5,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)",3,4,"not_legal","legal","Creature — Rhino","Hexproof",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A33e87ab4-f680-4463-a48d-289fed7e196e&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Rubbleback Rhino",NA
"Seller of Songbirds","{2}{W}",3,"When this creature enters, create a 1/1 white Bird creature token with flying.",1,2,"not_legal","legal","Creature — Human",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A87e4c6ff-f83f-412b-9d23-aac7a57ef6db&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Seller of Songbirds",NA
"Codex Shredder","{1}",1,"{T}: Target player mills a card. (They put the top card of their library into their graveyard.){5}, {T}, Sacrifice this artifact: Return target card from your graveyard to your hand.",NA,NA,"not_legal","legal","Artifact","Mill",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aef7b11ab-24e7-4e7c-91a7-920bade6e60b&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Artifact","Codex Shredder",NA
"Assassin's Strike","{4}{B}{B}",6,"Destroy target creature. Its controller discards a card.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1ad6339d-6206-49bf-bf97-05e6d3bcaab7&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Assassins Strike",NA
"Azorius Justiciar","{2}{W}{W}",4,"When this creature enters, detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)",2,2,"not_legal","legal","Creature — Human Wizard","Detain",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Acba0eae3-73ea-4ea9-87bf-1015e490da90&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Azorius Justiciar",NA
"Havoc Festival","{4}{B}{R}",6,"Players can't gain life.At the beginning of each player's upkeep, that player loses half their life, rounded up.",NA,NA,"not_legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aaf0dd100-67f0-4d7c-a65b-b2c7149288f7&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Havoc Festival",NA
